Episode,Total_Reward,Total_Energy_J,Total_Complaints,Avg_Reward
1,-0.02578691831210639,11604113.240447877,0.0,-0.0010744549296710995
2,-1014.0017005001181,36448018303.83288,7775.050868911531,-0.15895935107385453
3,-870.5810791295482,18732293871.65563,6907.94799512303,-0.17335346059927284
4,-927.6021600950926,26265352631.000088,7243.622581699901,-0.14564329723584435
5,-948.035100349076,27192998592.44402,7396.718454900823,-0.1483855220455589
6,-923.6743058837403,27608458963.127262,7186.01812378815,-0.14482193569829732
7,-888.2903568765716,18069846288.143295,7067.792857524392,-0.17295372992145086
8,-867.8213764879517,10993465598.19355,7028.262107803463,-0.22988645734780178
9,-927.6669423646283,30106773053.254555,7173.0250187191,-0.14544793702800696
10,-889.3431779995138,23647037693.19271,6973.285044566519,-0.13970203864271347
11,-917.9057672001429,21729496258.215923,7246.816647812085,-0.14416613274699905
12,-908.2505040100979,25423327271.40126,7097.951843206419,-0.14262727763977667
13,-887.6493433421582,19969275202.716213,7027.276468541813,-0.14836191598565238
14,-895.5200270938881,23363196367.40339,7030.015107867569,-0.14062814495821108
15,-910.8378172428916,22577338979.521057,7172.216273699704,-0.1430785135474225
16,-870.5034846326396,16774673734.484932,6943.553599077879,-0.1767160951345188
17,-929.9642240302546,19647627628.698483,7385.856910831846,-0.1548134216797494
18,-904.3967905812756,22235034903.49813,7124.880015890376,-0.14206672802093553
19,-907.9868318665098,20995215647.963085,7177.756642443883,-0.1426306679023735
20,-928.4653341836056,21740044634.061104,7334.617699047522,-0.1458475234344338
21,-898.3434732557272,22101173104.612854,7076.914627045696,-0.14550428786130987
22,-863.6417086309558,13802640816.711811,6941.409779022601,-0.19014568662064196
23,-891.1395724851938,21450362106.857662,7028.934176138575,-0.1399842243928988
24,-898.1129945098052,22074025308.206768,7075.4967078001755,-0.1410796409848893
25,-896.8423688092923,22288395628.211708,7060.938339555062,-0.1408579187701103
26,-875.9011374124158,20726019469.27602,6915.360969746544,-0.14186931282999932
27,-863.2388524191957,14971277215.306376,6916.411229135811,-0.17872440008679
28,-907.0058493554957,20334248311.94147,7181.821924037694,-0.14465803020023854
29,-900.7933918536717,20944903187.277245,7118.743021238505,-0.14150068989218845
30,-877.5000461294281,17570610808.48771,6987.118702773286,-0.15675241981590357
31,-896.8222590624285,21165577263.754932,7081.563691006314,-0.14087688643770477
32,-901.096885899083,21409514288.66652,7112.668228998606,-0.14154836410604507
33,-881.6456475025784,21934190091.79211,6940.8583571179615,-0.13849287582509873
34,-897.6389198359892,21725139705.492523,7078.006930013078,-0.14100517119635395
35,-871.8873071151521,18266985168.250458,6927.4500561772265,-0.15846734044259397
36,-900.4914369501048,21348240330.631172,7108.757524017025,-0.14145325745367654
37,-813.1955064826822,12519228493.551247,6544.791655993668,-0.20019584108387053
38,-900.382813152314,22397527922.820534,7088.421073994912,-0.14143619433746688
39,-917.5427352641782,26415673516.291607,7157.0103213443235,-0.1441317523192237
40,-882.3160403965596,22444759032.741096,6936.989984179879,-0.1385981841653408
41,-882.3789201512467,21539097647.03053,6954.285489278387,-0.138608061600887
42,-892.9383306489656,22168159039.605667,7030.6312917117,-0.14026678144030247
43,-879.6576061335212,21584973195.527412,6930.758325269611,-0.13818058531786384
44,-885.0127040107877,24190508645.92992,6927.133484424575,-0.13899995351198174
45,-894.2476955699838,23503442608.583122,7016.815192553929,-0.14047246238925287
46,-899.5946880536571,29276703258.05345,6954.4612290017785,-0.14131239209136934
47,-894.9177540847812,23139832552.001095,7029.132533076915,-0.1427301043197418
48,-906.827814501624,22479352918.039043,7140.614140883244,-0.14244860422582845
49,-933.8545688974294,22858661721.519505,7358.812857080169,-0.14669408873663672
50,-895.8854069304034,24101174933.971615,7019.393670087271,-0.1405972076161964
51,-903.9695966971101,23093600487.975456,7105.42070418013,-0.14199962247833964
52,-889.6931266260823,24065601682.843834,6968.450098127717,-0.13975701015175657
53,-908.0578307379268,24715258557.5229,7109.458616195341,-0.14264182072540477
54,-909.5046316483576,22564943104.348328,7161.335946989186,-0.14963880086350076
55,-874.2267435196009,15702185926.612381,6994.44164180019,-0.1708141351152014
56,-895.6184647533129,21242150907.74547,7070.114041319409,-0.14068778899675038
57,-791.4955919395888,5707987225.264189,6490.093132362093,-0.29120514788064344
58,-892.1225797295748,16778791998.78943,7123.636460731903,-0.1711013770098916
59,-911.2726535151867,23426387073.372517,7160.1167964530605,-0.14314681959082418
60,-846.918331087586,15762785923.36139,6765.749316038059,-0.18646374528568604
61,-892.7832306402701,23608033287.256584,7002.674453719766,-0.14024241763120798
62,-899.0888149384621,23216215427.22069,7062.476875835032,-0.14123292726020453
63,-901.42433319602,22074810380.369167,7103.076658478605,-0.14159980100471567
